id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	426.0	3.0	3.0	3.0
2	-1.0	-1.0	-1.0	-1.0
3	-1.0	-1.0	-1.0	-1.0
4	-1.0	-1.0	-1.0	-1.0
5	126.0	5.0	5.0	5.0
6	194.0	2.0	2.0	2.0
7	52.0	1.0	1.0	1.0
8	99.0	7.0	7.0	7.0
9	1.0	1.0	1.0	1.0
10	107.0	20.0	20.0	24.0
11	175.0	181.0	181.0	181.0
12	-1.0	-1.0	-1.0	-1.0
13	291.0	19.0	19.0	19.0
14	182.0	13.0	13.0	13.0
15	-1.0	-1.0	-1.0	-1.0
16	279.0	488.0	488.0	488.0
17	188.0	4.0	4.0	4.0
18	158.0	153.0	153.0	153.0
19	-1.0	-1.0	-1.0	-1.0
20	99.0	2.0	2.0	2.0
21	111.0	1.0	1.0	1.0
22	111.0	1.0	1.0	1.0
23	78.0	1.0	1.0	1.0
24	90.0	1.0	1.0	1.0
25	128.0	3.0	3.0	3.0
26	-1.0	-1.0	-1.0	-1.0
27	-1.0	-1.0	-1.0	-1.0
28	-1.0	-1.0	-1.0	-1.0
29	-1.0	-1.0	-1.0	-1.0
30	-1.0	-1.0	-1.0	-1.0
31	103.0	93.0	93.0	93.0
32	140.0	1.0	1.0	1.0
33	204.0	4.0	4.0	4.0
34	8.0	1.0	1.0	1.0
35	196.0	1.0	1.0	1.0
36	-1.0	-1.0	-1.0	-1.0
37	81.0	51.0	51.0	51.0
38	45.0	1.0	1.0	1.0
39	8.0	1.0	1.0	1.0
40	187.0	1.0	1.0	1.0
41	184.0	3.0	3.0	3.0
42	-1.0	-1.0	-1.0	-1.0
43	199.0	25.0	25.0	25.0
44	45.0	37.0	37.0	37.0
45	117.0	4.0	4.0	4.0
46	18.0	1.0	1.0	1.0
47	146.0	237.0	237.0	237.0
48	-1.0	-1.0	-1.0	-1.0
49	186.0	26.0	26.0	26.0
50	92.0	1.0	1.0	1.0
51	45.0	37.0	37.0	37.0
52	49.0	3.0	3.0	3.0
53	-1.0	-1.0	-1.0	-1.0
54	231.0	4.0	4.0	4.0
55	-1.0	-1.0	-1.0	-1.0
56	28.0	2.0	2.0	2.0
57	38.0	1.0	1.0	1.0
58	80.0	1.0	1.0	1.0
59	317.0	10.0	10.0	10.0
60	274.0	18.0	18.0	18.0
61	84.0	5.0	5.0	5.0
62	3.0	1.0	1.0	1.0
63	3.0	1.0	1.0	1.0
64	-1.0	-1.0	-1.0	-1.0
65	43.0	9.0	9.0	9.0
66	107.0	5.0	5.0	5.0
67	99.0	12.0	12.0	12.0
68	15.0	2.0	2.0	2.0
69	181.0	50.0	50.0	50.0
70	179.0	316.0	316.0	316.0
71	165.0	1.0	1.0	1.0
72	-1.0	-1.0	-1.0	-1.0
73	42.0	1.0	1.0	1.0
74	87.0	1.0	1.0	1.0
75	82.0	10.0	10.0	-1.0
76	105.0	4.0	4.0	4.0
77	40.0	1.0	1.0	1.0
78	81.0	1.0	1.0	1.0
79	83.0	142.0	142.0	142.0
80	39.0	1.0	1.0	1.0
81	15.0	5.0	5.0	5.0
82	-1.0	-1.0	-1.0	-1.0
83	-1.0	-1.0	-1.0	-1.0
84	-1.0	-1.0	-1.0	-1.0
85	96.0	4.0	4.0	4.0
86	-1.0	-1.0	-1.0	-1.0
87	80.0	9.0	9.0	9.0
88	-1.0	-1.0	-1.0	-1.0
89	122.0	28.0	28.0	28.0
90	165.0	1.0	1.0	1.0
91	76.0	2.0	2.0	2.0
92	86.0	3.0	3.0	3.0
93	86.0	3.0	3.0	3.0
94	90.0	153.0	153.0	153.0
95	180.0	17.0	17.0	17.0
96	146.0	6.0	6.0	6.0
97	68.0	115.0	115.0	115.0
98	100.0	8.0	8.0	8.0
99	73.0	3.0	3.0	3.0
100	58.0	3.0	3.0	3.0
101	176.0	1.0	1.0	1.0
102	247.0	421.0	421.0	421.0
103	172.0	57.0	57.0	57.0
104	11.0	2.0	2.0	2.0
105	75.0	1.0	1.0	2.0
106	104.0	57.0	57.0	57.0
107	164.0	5.0	5.0	5.0
108	-1.0	-1.0	-1.0	-1.0
109	-1.0	-1.0	-1.0	-1.0
110	95.0	1.0	1.0	1.0
111	-1.0	-1.0	-1.0	-1.0
112	225.0	16.0	16.0	16.0
113	100.0	2.0	2.0	2.0
114	141.0	49.0	49.0	49.0
115	182.0	2.0	2.0	2.0
116	208.0	10.0	10.0	10.0
117	-1.0	-1.0	-1.0	-1.0
118	251.0	4.0	4.0	4.0
119	114.0	17.0	17.0	17.0
120	135.0	19.0	19.0	19.0
121	135.0	3.0	3.0	3.0
122	20.0	3.0	3.0	3.0
123	63.0	1.0	1.0	1.0
124	92.0	5.0	5.0	5.0
125	207.0	83.0	83.0	83.0
126	108.0	2.0	2.0	2.0
127	123.0	12.0	12.0	12.0
128	53.0	1.0	1.0	1.0
129	242.0	113.0	113.0	113.0
130	147.0	4.0	4.0	4.0
131	94.0	5.0	5.0	5.0
132	100.0	3.0	3.0	3.0
133	-1.0	-1.0	-1.0	-1.0
top_1_3_5_10	1_3_3_5	30_50_65_73	30_50_65_73	29_50_65_72
percent	0.008_0.023_0.023_0.038	0.226_0.376_0.489_0.549	0.226_0.376_0.489_0.549	0.218_0.376_0.489_0.541
improve_drop	0_0	96_8	96_8	96_8